?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/UBERON_0007213>		
<http://purl.obolibrary.org/obo/MONDO_0002300>	"A benign, intermediate, or malignant neoplasm that arises from the dermis."	"DOID:2438 UMLS:C0346041 NCIT:C4475"
<http://purl.obolibrary.org/obo/MONDO_0001172>		"NCIT:C171201 SCTID:46536000 DOID:10972 UMLS:C0036133 ICD9:614.2"
<http://purl.obolibrary.org/obo/COB_0000073>		
<http://purl.obolibrary.org/obo/GO_0008206>		
<http://purl.obolibrary.org/obo/GO_0001706>		
<http://purl.obolibrary.org/obo/CHEBI_75787>	"Any metabolite produced during a metabolic reaction in prokaryotes, the taxon that include members of domains such as the bacteria and archaea."	
<http://purl.obolibrary.org/obo/CHEBI_50312>		
<http://purl.obolibrary.org/obo/MONDO_0004885>	"A neurodegenerative disease that involves the optic choroid."	"ICD9:363.4 SCTID:406446000 ICD9:363.40 MESH:C535358 DOID:980"
<http://purl.obolibrary.org/obo/GO_0010817>		
<http://purl.obolibrary.org/obo/GO_0048870>		
<http://purl.obolibrary.org/obo/UBERON_0010188>		
<http://purl.obolibrary.org/obo/GO_0007009>		
<http://purl.obolibrary.org/obo/UBERON_0003513>		
<http://purl.obolibrary.org/obo/CHEBI_49637>		
<http://purl.obolibrary.org/obo/GO_0008643>		
<http://purl.obolibrary.org/obo/CL_0002328>		
<http://purl.obolibrary.org/obo/CL_0002632>		
<http://purl.obolibrary.org/obo/GO_0001838>		
<http://purl.obolibrary.org/obo/GO_0001705>		
<http://purl.obolibrary.org/obo/HP_0001626>		
<http://purl.obolibrary.org/obo/GO_0048871>		
<http://purl.obolibrary.org/obo/MONDO_0001593>	"A disease that involves the rectum."	"MESH:D012002 ICD9:569.49 DOID:1285 SCTID:5964004 UMLS:C0034882"
<http://purl.obolibrary.org/obo/GO_0002376>		
<http://purl.obolibrary.org/obo/CHEBI_36347>	"A nucleus or any of its constituents in any of their energy states."	
<http://purl.obolibrary.org/obo/MONDO_0004425>	"Overactivity of the thyroid gland resulting in overproduction of thyroid hormone and increased metabolic rate. Causes include diffuse hyperplasia of the thyroid gland (Graves' disease), single nodule in the thyroid gland, and thyroiditis. The symptoms are related to the increased metabolic rate and include weight loss, fatigue, heat intolerance, excessive sweating, diarrhea, tachycardia, insomnia, muscle weakness, and tremor."	"MESH:D006980 NCIT:C3123 ICD9:242.90 DOID:7998 EFO:0009189 SCTID:34486009"
<http://purl.obolibrary.org/obo/GO_0006112>		
<http://purl.obolibrary.org/obo/GO_0034101>		
<http://purl.obolibrary.org/obo/UBERON_0002091>		
<http://purl.obolibrary.org/obo/UBERON_0005911>		
<http://purl.obolibrary.org/obo/MONDO_0020010>	"A infectious disease that involves the nervous system."	"UMLS:C0597039 NCIT:C27590 GARD:19386 Orphanet:98010 SCTID:128116006 ICD9:349.89"
<http://purl.obolibrary.org/obo/GO_0017145>		
<http://purl.obolibrary.org/obo/UBERON_0009569>		
<http://purl.obolibrary.org/obo/MONDO_0002654>	"A non-neoplastic or neoplastic disorder that affects the uterine corpus or the cervix. Representative examples of non-neoplastic disorders include endometritis and cervicitis. Representative examples of neoplastic disorders include endometrial carcinoma, carcinosarcoma, and cervical carcinoma."	"ICD9:621.8 NCIT:C26907 SCTID:12337004 UMLS:C0042131 MESH:D014591 ICD9:621.9 DOID:345"
<http://purl.obolibrary.org/obo/CHEBI_33284>	"A nutrient is a food component that an organism uses to survive and grow."	
<http://purl.obolibrary.org/obo/MONDO_0004756>	"A benign or malignant neoplasm that affects the nasal cavity. Representative examples of benign neoplasms include Schneiderian papilloma and salivary gland-type adenoma. Representative examples of malignant neoplasms include carcinoma and lymphoma."	"SCTID:126670003 NCIT:C4413 DOID:9310 UMLS:C0345630"
<http://purl.obolibrary.org/obo/CHEBI_26348>	"A tightly bound, specific nonpolypeptide unit in a protein determining and involved in its biological activity."	
<http://purl.obolibrary.org/obo/CHEBI_37395>	"Any of the group of polysaccharides composed of alternating units from uronic acids and glycosamines, and commonly partially esterified with sulfuric acid."	
<http://purl.obolibrary.org/obo/GO_0048872>		
<http://purl.obolibrary.org/obo/HP_0001627>		
<http://purl.obolibrary.org/obo/UBERON_0001556>		
<http://purl.obolibrary.org/obo/GO_0044381>		
<https://github.com/bmir-radx/gcbo/nih_numb_extremities>		
<https://github.com/bmir-radx/gcbo/nih_diff_breath>		
<http://purl.obolibrary.org/obo/UBERON_0002090>		
<http://purl.obolibrary.org/obo/NCIT_C1908>	"An organic or inorganic substance, element, isotope, food or other materials derived from microorganism, plant, or animal sources. They can be used for the prevention, diagnosis, treatment or research of disease states, for industrial purposes, or for the promotion or maintenance of organism viability or health."	
<http://purl.obolibrary.org/obo/UBERON_0000489>		
<http://purl.obolibrary.org/obo/CL_0000540>		
<http://purl.obolibrary.org/obo/MONDO_0021229>	"A neoplasm (disease) that involves the ciliary body."	"NCIT:C4364 UMLS:C0339349"
<http://purl.obolibrary.org/obo/GO_0001707>		
<http://purl.obolibrary.org/obo/UBERON_0001555>		
<http://purl.obolibrary.org/obo/MONDO_0045024>	"Any disorder that features disrupted cell proliferation. Includes hyperplasia, neoplastic syndrome and isolated neoplasm diseases as well as precancerous conditions."	
<http://purl.obolibrary.org/obo/GO_0008202>		
<http://purl.obolibrary.org/obo/NCBITaxon_6960>		
<http://purl.obolibrary.org/obo/UBERON_0007297>		
<http://purl.obolibrary.org/obo/UBERON_0014903>		
<http://purl.obolibrary.org/obo/SYMP_0000719>	"A neurological and physiological symptom that is characterized by a diminished or reduced ability to remember things such as dates and names, and increased forgetfulness."	
<http://purl.obolibrary.org/obo/UBERON_0000486>		
<http://purl.obolibrary.org/obo/MONDO_0021925>	"Inflammation of the tracheobronchial tree."	"NCIT:C122784 UMLS:C0040586 SCTID:13617004"
<http://purl.obolibrary.org/obo/MONDO_0042485>	"The inflammation of one or more joints caused by any infectious pathogen within the joint space. Symptoms include pain, stiffness, and decreased range of motion in the affected joint."	"NCIT:C26700"
<http://purl.obolibrary.org/obo/UBERON_0000353>		
<http://purl.obolibrary.org/obo/MONDO_0002708>	"Inflammation of the retina."	"DOID:3612 UMLS:C0035333 SCTID:399463004 MESH:D012173 NCIT:C115993"
<http://purl.obolibrary.org/obo/UBERON_0004537>		
<http://purl.obolibrary.org/obo/UBERON_0001114>		
<http://purl.obolibrary.org/obo/GO_0015718>		
<http://purl.obolibrary.org/obo/MONDO_0020665>		"NCIT:C36046"
<http://purl.obolibrary.org/obo/NCBITaxon_480117>		
<http://purl.obolibrary.org/obo/PATO_0002039>		
<http://purl.obolibrary.org/obo/MONDO_0005559>	"A disorder of the central nervous system characterized by gradual and progressive loss of neural tissue and neurologic function."	"DOID:1289 EFO:0005772 MESH:D019636 NCIT:C4802 SCTID:80690008 ICD9:349.89"
<http://purl.obolibrary.org/obo/MONDO_0006975>	"A benign or malignant myomatous neoplasm arising from smooth muscle."	"MESH:D018235 DOID:4310 NCIT:C3751 EFO:1001185 UMLS:C0206658"
<http://purl.obolibrary.org/obo/CHEBI_76969>	"Any prokaryotic metabolite produced during a metabolic reaction in bacteria."	
<http://purl.obolibrary.org/obo/MONDO_0005217>	"An instance of cardiomyopathy that is caused by an inherited modification of the individual's genome."	"EFO:0002945 ICD9:425.4 SCTID:35728003 UMLS:C0264789"
<http://purl.obolibrary.org/obo/UBERON_0000487>		
<https://github.com/bmir-radx/gcbo/AgeSection>		
<http://purl.obolibrary.org/obo/MONDO_0003646>	"A neoplasm with neuroendocrine differentiation that arises from the rectum. It includes well differentiated neuroendocrine tumors (low and intermediate grade) and poorly differentiated neuroendocrine carcinomas (high grade)."	"GARD:19756 NCIT:C5698 DOID:5777 Orphanet:100081"
<http://purl.obolibrary.org/obo/UBERON_0010230>		
<http://purl.obolibrary.org/obo/CL_2000029>		
<http://purl.obolibrary.org/obo/UBERON_0006931>		
<http://purl.obolibrary.org/obo/SYMP_0000016>	"A balance symptom that is characterized by a disturbance of consciousness characterized by inability to engage in orderly thought or by lack of power to distinguish, choose, or act decisively."	
<http://purl.obolibrary.org/obo/UBERON_0001246>		
<http://purl.obolibrary.org/obo/UBERON_0001113>		
<http://purl.obolibrary.org/obo/MONDO_0021154>	"A disease that involves the dermis."	"UMLS:CN227618 Orphanet:79381 GARD:19010"
<http://purl.obolibrary.org/obo/UBERON_0005604>		
<http://purl.obolibrary.org/obo/NCBITaxon_480118>		
<http://purl.obolibrary.org/obo/MONDO_0008487>	"A disorder that manifests as multiple cysts on the ovaries. It results in hormonal imbalances and leads to irregular and abnormal menstrual periods, excess growth of hair, acne eruptions and obesity."	"EFO:0000660 SCTID:69878008 UMLS:C0032460 ICD9:256.4 Orphanet:3185 DOID:11612 NCIT:C26862 MESH:D011085 OMIM:184700"
<http://purl.obolibrary.org/obo/UBERON_0011695>		
<http://purl.obolibrary.org/obo/CHEBI_36342>	"A particle smaller than an atom."	
<http://purl.obolibrary.org/obo/MONDO_0005233>	"A group of at least three distinct histological types of lung cancer, including non-small cell squamous cell carcinoma, adenocarcinoma, and large cell carcinoma. Non-small cell lung carcinomas have a poor response to conventional chemotherapy."	"Orphanet:488201 EFO:0003060 HP:0030358 UMLS:C0007131 MESH:D002289 NCIT:C2926 DOID:3908 SCTID:254637007 ONCOTREE:NSCLC"
<https://github.com/bmir-radx/gcbo/nih_skin_rash>		
<http://purl.obolibrary.org/obo/UBERON_0000484>		
<http://purl.obolibrary.org/obo/MONDO_0021662>	"A benign or malignant neoplasm that affects the intrahepatic or extrahepatic bile ducts. Representative examples of benign neoplasms include bile duct adenoma and extrahepatic bile duct lipoma. Representative examples of malignant neoplasms include intrahepatic and extrahepatic cholangiocarcinoma."	"UMLS:C0005396 NCIT:C2898 MESH:D001650"
<http://purl.obolibrary.org/obo/MONDO_0006032>	"Inflammation of the urinary bladder."	"UMLS:C0010692 EFO:1000025 MESH:D003556 ICD9:595.9 ICD9:595 DOID:1679 ICD9:595.89 SCTID:38822007 NCIT:C26738"
<http://purl.obolibrary.org/obo/GO_0000272>		
<http://purl.obolibrary.org/obo/MONDO_0005579>	"A chronic condition characterized by recurrent generalized seizures."	"DOID:1827 OMIM:600669 MESH:C562694 SCTID:19598007 NCIT:C3021 EFO:0005917 OMIMPS:600669"
<http://purl.obolibrary.org/obo/UBERON_0010364>		
<http://purl.obolibrary.org/obo/MONDO_0002602>	"A disease involving the central nervous system."	"NCIT:C2934 SCTID:23853001 DOID:331 MESH:D002493 UMLS:C4021765"
<http://purl.obolibrary.org/obo/GO_0015849>		
<http://purl.obolibrary.org/obo/NCBITaxon_6656>		
<http://purl.obolibrary.org/obo/IAO_0000225>	"The reason for which a term has been deprecated. The allowed values come from an enumerated list of predefined terms. See the specification of these instances for more detailed definitions of each enumerated value."@en	
<https://github.com/bmir-radx/gcbo/nih_coronary_artery_disease>		
<http://purl.obolibrary.org/obo/MONDO_0001941>	"The lack of vision. It is caused by neurological or physiological factors."	"SCTID:105597003 NCIT:C97109 ICD9:369 ICD10CM:H54 DOID:1432 MESH:D001766"
<http://purl.obolibrary.org/obo/UBERON_0000485>		
<http://purl.obolibrary.org/obo/MONDO_0021742>	"An infection occurring in puerperium, the period of 6-8 weeks after giving birth."	"EFO:1001407 UMLS:C0034041 MESH:D011645"
<http://purl.obolibrary.org/obo/GO_0070161>		
<http://purl.obolibrary.org/obo/UBERON_0010498>		
<http://purl.obolibrary.org/obo/MONDO_0001419>	"A rare squamous cell carcinoma that arises from the mucosal lining of the trachea. It usually grows as an intraluminal mass and later invades extraluminal structures. The majority of patients present with hemoptysis, coughing, dyspnea, or stridor."	"SCTID:254620000 DOID:12003 NCIT:C4448 UMLS:C0345946 EFO:1000600"
<http://purl.obolibrary.org/obo/GO_0007268>		
<http://purl.obolibrary.org/obo/HP_0032016>	"Abnormal appearance of material expectorated (coughed up) from the respiratory system and that is composed of mucus but may contain other substances such as pus, blood, microorganisms, and fibrin."	
<http://purl.obolibrary.org/obo/GO_0051649>		
<http://purl.obolibrary.org/obo/CHEBI_76946>	"Any eukaryotic metabolite produced during a metabolic reaction in fungi, the kingdom that includes microorganisms such as the yeasts and moulds."	
<http://purl.obolibrary.org/obo/MONDO_0021201>	"An inflammatory process affecting the skin, caused by bacteria, viruses, parasites, or fungi. Examples of bacterial infection include carbuncles, furuncles, impetigo, erysipelas, and abscesses. Examples of viral infection include shingles, warts, molluscum contagiosum, and pityriasis rosea. Examples of parasitic infection include scabies and lice. Examples of fungal infection include athlete's foot, yeast infection, and ringworm."	"NCIT:C35025 SCTID:19824006 UMLS:C0037278"
<http://purl.obolibrary.org/obo/UBERON_0001115>		
<http://purl.obolibrary.org/obo/MONDO_0003769>	"Gastritis resulting from herpes virus."	"UMLS:C1333996 DOID:6102 NCIT:C27341"
<http://purl.obolibrary.org/obo/NCIT_C121690>	"A question about the ability of an individual to run errands and shop."	
<http://purl.obolibrary.org/obo/MONDO_0000224>	"An acquired metabolic disease that is has its basis in the disruption of carbohydrate metabolism."	"DOID:0050013"
<http://purl.obolibrary.org/obo/UBERON_0000179>		
<http://purl.obolibrary.org/obo/CL_0000402>		
<http://purl.obolibrary.org/obo/UBERON_0013701>		
<https://github.com/bmir-radx/gcbo/nih_pcos>		
<http://purl.obolibrary.org/obo/UBERON_0010499>		
<http://purl.obolibrary.org/obo/UBERON_0013702>		
<http://purl.obolibrary.org/obo/MONDO_0024636>	"An inflammatory disease involving a pathogenic inflammatory response in the heart layer."	"SCTID:399617002 ICD9:429.89"
<http://purl.obolibrary.org/obo/MONDO_0017146>		"Orphanet:275752 GARD:21024 UMLS:CN202572"
<http://purl.obolibrary.org/obo/MONDO_0003409>	"Pathological processes in the colon region of the large intestine (intestine, large)."	"UMLS:C0009373 SCTID:128524007 DOID:5353 MESH:D003108"
<http://purl.obolibrary.org/obo/GO_0007267>		
<http://purl.obolibrary.org/obo/PATO_0002478>		
<http://purl.obolibrary.org/obo/MONDO_0021310>	"A cancer that involves the neck."	"NCIT:C4940 UMLS:C0746787 SCTID:363489000"
<http://purl.obolibrary.org/obo/MONDO_0006220>	"A carcinoma that arises from the gallbladder. It is composed entirely by malignant squamous epithelial cells."	"NCIT:C9170 EFO:1000267 DOID:5535 UMLS:C0279658"
<http://purl.obolibrary.org/obo/CHEBI_27594>		
<http://purl.obolibrary.org/obo/CHEBI_29101>	"A monoatomic monocation obtained from sodium."	
<http://purl.obolibrary.org/obo/UBERON_0000047>		
<http://purl.obolibrary.org/obo/UBERON_0000483>		
<https://github.com/bmir-radx/gcbo/nih_copd_plus>		
<http://purl.obolibrary.org/obo/GO_0007399>		
<http://purl.obolibrary.org/obo/MONDO_0024476>	"A epithelial neoplasm that involves the rectum."	
<http://purl.obolibrary.org/obo/GO_0016125>		
<http://purl.obolibrary.org/obo/NCBITaxon_11676>		
<http://purl.obolibrary.org/obo/GO_0044085>		
<http://purl.obolibrary.org/obo/UBERON_0001242>		
<http://purl.obolibrary.org/obo/MONDO_0021063>	"A primary or metastatic malignant neoplasm that affects the colon. Representative examples include carcinoma, lymphoma, and sarcoma."	"ICD9:153.8 NCIT:C9242 ICD9:153 UMLS:C0007102 ICD9:153.9 SCTID:363406005 DOID:219"
<http://purl.obolibrary.org/obo/NBO_0001786>	"\"Any process that modulates the frequency, rate or extent of behavior, the specific actions or reactions of an organism in response to external or internal stimuli.\" [GO:0050795]"	
<http://purl.obolibrary.org/obo/NCBITaxon_207598>		
<http://purl.obolibrary.org/obo/GO_0009792>		
<http://purl.obolibrary.org/obo/MONDO_0002235>	"A benign or malignant neoplasm that affects the eyelid. Representative examples include hemangioma, nevus, and carcinoma."	"SCTID:278697001 UMLS:C0015424 Orphanet:98580 NCIT:C3031 DOID:2173 MESH:D005142 EFO:1000934"
<http://purl.obolibrary.org/obo/GO_0007398>		
<http://purl.obolibrary.org/obo/NCBITaxon_30727>		
<http://purl.obolibrary.org/obo/CL_0000404>		
<http://purl.obolibrary.org/obo/UBERON_0004535>		
<http://purl.obolibrary.org/obo/CHEBI_24834>		
<http://purl.obolibrary.org/obo/MONDO_0024315>	"Infection of the epicondyles by a parasite."	"NCIT:C34587 SCTID:57100005 UMLS:C0014238 ICD9:360.13"
<http://purl.obolibrary.org/obo/CHEBI_33575>	"A carbon oxoacid acid carrying at least one -C(=O)OH group and having the structure RC(=O)OH, where R is any any monovalent functional group. Carboxylic acids are the most common type of organic acid."	
<http://purl.obolibrary.org/obo/GO_0071495>		
<http://purl.obolibrary.org/obo/UBERON_0001245>		
<http://purl.obolibrary.org/obo/CHEBI_35693>		
<http://purl.obolibrary.org/obo/UBERON_0000481>		
<http://purl.obolibrary.org/obo/BFO_0000004>	"b is an independent continuant = Def. b is a continuant which is such that there is no c and no t such that b s-depends_on c at t. (axiom label in BFO2 Reference: [017-002])"@en	
<http://purl.obolibrary.org/obo/UBERON_0005867>		
<http://purl.obolibrary.org/obo/MONDO_0021125>	"An attribute of a disease."	"NCIT:C41009"
<http://purl.obolibrary.org/obo/HP_0007663>		
<http://purl.obolibrary.org/obo/HP_0000118>		
<http://purl.obolibrary.org/obo/NCIT_C691>	"A plant alkaloid, found in the tobacco plant, and addictive central nervous system (CNS) stimulant that causes either ganglionic stimulation in low doses or ganglionic blockage in high doses. Nicotine acts as an agonist at the nicotinic cholinergic receptors in the autonomic ganglia, at neuromuscular junctions, and in the adrenal medulla and the brain. Nicotine's CNS-stimulating activities may be mediated through the release of several neurotransmitters, including acetylcholine, beta-endorphin, dopamine, norepinephrine, serotonin, and ACTH. As a result, peripheral vasoconstriction, tachycardia, and elevated blood pressure may be observed with nicotine intake. This agent may also stimulate the chemoreceptor trigger zone, thereby inducing nausea and vomiting."	
<http://purl.obolibrary.org/obo/UBERON_0000178>		
<http://purl.obolibrary.org/obo/UBERON_0000045>		
<http://purl.obolibrary.org/obo/HP_0030680>	"Any structural anomaly of the heart and great vessels."	
<http://purl.obolibrary.org/obo/CHEBI_24432>	"A role played by the molecular entity or part thereof within a biological context."	
<http://purl.obolibrary.org/obo/MONDO_0004139>	"Anemia in which the red blood cell volume is normal."	"NCIT:C35142 ICD9:285.8 UMLS:C0085577 SCTID:300980002 DOID:720"
<http://purl.obolibrary.org/obo/CHEBI_33252>	"A nucleus is the positively charged central portion of an atom, excluding the orbital electrons."	
<http://purl.obolibrary.org/obo/UBERON_0000042>		
<http://purl.obolibrary.org/obo/MONDO_0021040>	"A benign or malignant neoplasm involving the pancreas."	"NCIT:C3305 EFO:0003860 SCTID:126859007 ONCOTREE:PANCREAS MESH:D010190"
<http://purl.obolibrary.org/obo/GO_0032940>		
<http://purl.obolibrary.org/obo/GO_0009790>		
<https://github.com/bmir-radx/gcbo/nih_alcohol_yn>		
<http://purl.obolibrary.org/obo/UBERON_0009911>		
<http://purl.obolibrary.org/obo/CL_0000187>		
<http://purl.obolibrary.org/obo/MONDO_0017210>	"An infectious disease involving a pathogenic inflammatory response in the anterior uvea."	"UMLS:C0154911 ICD9:364.03 Orphanet:279922 SCTID:193487008 DOID:9389 GARD:21067"
<http://purl.obolibrary.org/obo/HP_0002027>		
<http://purl.obolibrary.org/obo/GO_0032504>		
<http://purl.obolibrary.org/obo/MONDO_0005264>	"A brief attack (from a few minutes to an hour) of cerebral dysfunction of vascular origin, with no persistent neurological deficit."	"NCIT:C50781 ICD9:435.9 SCTID:266257000 DOID:224 EFO:0003764 ICD9:435.8 ICD9:435 MESH:D002546 HP:0002326"
<http://purl.obolibrary.org/obo/MONDO_0017202>	"Acute form of endophthalmitis."	"DOID:11752 MedDRA:10000730 ICD9:360.01 SCTID:1493002 Orphanet:279888 GARD:21059 UMLS:C0154773"
<https://github.com/bmir-radx/gcbo/nih_thalassemia>		
<http://purl.obolibrary.org/obo/CHEBI_23357>	"An organic molecule or ion (usually a metal ion) that is required by an enzyme for its activity. It may be attached either loosely (coenzyme) or tightly (prosthetic group)."	
<http://purl.obolibrary.org/obo/UBERON_0005425>		
<http://purl.obolibrary.org/obo/MONDO_0003211>	"A carcinoma that arises from glandular epithelial cells of the nasal cavity"	"NCIT:C6015 DOID:4930 UMLS:C1334920"
<http://purl.obolibrary.org/obo/GO_0032941>		
<http://purl.obolibrary.org/obo/UBERON_0009912>		
<http://purl.obolibrary.org/obo/NCIT_C35867>	"A light microscopic finding that describes the cellular characteristics and architectural patterns of cell populations in a tissue sample."	
<http://purl.obolibrary.org/obo/CHEBI_50047>	"A compound formally derived from ammonia by replacing one, two or three hydrogen atoms by organyl groups."	
<http://purl.obolibrary.org/obo/NCBITaxon_436486>		
<http://purl.obolibrary.org/obo/GO_0009791>		
<http://purl.obolibrary.org/obo/UBERON_0000043>		
<http://purl.obolibrary.org/obo/NCBITaxon_2697495>		
<http://purl.obolibrary.org/obo/HP_0002597>		
<http://purl.obolibrary.org/obo/MONDO_0005098>	"A sudden loss of neurological function secondary to hemorrhage or ischemia in the brain parenchyma due to a vascular event."	"NIFSTD:birnlex_12783 MESH:D020521 SCTID:230690007 NCIT:C3390 EFO:0000712 HP:0001297"
<http://purl.obolibrary.org/obo/NCBITaxon_8929>		
<http://purl.obolibrary.org/obo/MONDO_0018502>	"Hereditary gastric cancer refers to the occurrence of gastric cancer in a familial context and is described as two or more cases of gastric cancer in first or second degree relatives with at least one case diagnosed before the age of 50. Familial clustering is observed in 10% of all cases of gastric cancer, and includes hereditary diffuse gastric cancer (early onset diffuse-type gastric cancer), gastric adenocarcinoma and proximal polyposis of the stomach and familial intestinal gastric cancer (familial clustering of intestinal type gastric adenocarcinoma). Hereditary gastric cancer can also occur in other hereditary cancer syndromes such as Lynch syndrome, Li-Fraumeni syndrome, familial adenomatous polyposis and juvenile polyposis syndrome."	"GARD:21758 Orphanet:423776"
<http://purl.obolibrary.org/obo/UBERON_0005426>		
<http://purl.obolibrary.org/obo/GO_0043232>		
<http://purl.obolibrary.org/obo/MONDO_0002715>	"Primary or metastatic malignant neoplasm involving the uterine corpus and/or the cervix."	"ICD9:179 SCTID:371973000 NCIT:C3552 MESH:D014594 DOID:363"
<http://purl.obolibrary.org/obo/MONDO_0023557>	"An infectious process affecting the vagina. Symptoms include pain and purulent discharge."	"NCIT:C84353 SCTID:237091009 UMLS:C0404521"
<http://purl.obolibrary.org/obo/MONDO_0021230>	"A neoplasm (disease) that involves the uterine cervix."	"ONCOTREE:CERVIX NCIT:C2940"
<http://purl.obolibrary.org/obo/CL_0000056>		
<http://purl.obolibrary.org/obo/CHEBI_22221>	"An organic group formed by removing one or more hydroxy groups from an oxoacid that has the general structure RkE(=O)l(OH)m (l =/= 0). Although the term is almost always applied to organic compounds, with carboxylic acid as the oxoacid, acyl groups can in principle be derived from other types of acids such as sulfonic acids or phosphonic acids."	
<http://purl.obolibrary.org/obo/CHEBI_35470>	"A class of drugs producing both physiological and psychological effects through a variety of mechanisms involving the central nervous system."	
<http://purl.obolibrary.org/obo/NCBITaxon_314147>		
<https://github.com/bmir-radx/gcbo/nih_neuro_shakes>		
<http://purl.obolibrary.org/obo/NCIT_C18272>	"Maladaptive pattern of drug or alcohol use that may lead to social, occupational, psychological, or physical problems."	
<http://purl.obolibrary.org/obo/MONDO_0011849>	"Joint inflammation associated with psoriasis."	"SCTID:156370009 DOID:9008 NCIT:C61277 ICD9:696.0 MESH:D015535 UMLS:C0003872 EFO:0003778 OMIM:607507 Orphanet:40050"
<http://purl.obolibrary.org/obo/NCBITaxon_41324>		
<http://purl.obolibrary.org/obo/UBERON_0005427>		
<http://purl.obolibrary.org/obo/HP_0001268>		
<http://purl.obolibrary.org/obo/GO_0051641>		
<http://purl.obolibrary.org/obo/UBERON_0000174>		
<http://purl.obolibrary.org/obo/GO_0006725>		
<http://purl.obolibrary.org/obo/GO_0043233>		
<http://purl.obolibrary.org/obo/MONDO_0005070>	"A benign or malignant tissue growth resulting from uncontrolled cell proliferation. Benign neoplastic cells resemble normal cells without exhibiting significant cytologic atypia, while malignant cells exhibit overt signs such as dysplastic features, atypical mitotic figures, necrosis, nuclear pleomorphism, and anaplasia. Representative examples of benign neoplasms include papillomas, cystadenomas, and lipomas; malignant neoplasms include carcinomas, sarcomas, lymphomas, and leukemias."	"NCIT:C3262 ICD10CM:C7A-C7A ONCOTREE:OTHER ICD10CM:C00-D49 ICD9:239.9 DOID:14566 SCTID:55342001 MESH:D009369 ICD9:239.8 ICD10CM:C7B-C7B EFO:0000616 ICD9:140-239.99 HP:0002664 UMLS:C0027651"
<http://purl.obolibrary.org/obo/CL_0000188>		
<http://purl.obolibrary.org/obo/CL_0000055>		
<http://purl.obolibrary.org/obo/UBERON_0002268>		
<http://purl.obolibrary.org/obo/NCBITaxon_314146>		
<http://purl.obolibrary.org/obo/PATO_0000998>		
<https://github.com/bmir-radx/gcbo/nih_anemia>		
<http://purl.obolibrary.org/obo/MONDO_0005308>	"A genetic disorder of the cellular cilia or the cilia anchoring structures, the basal bodies, or of ciliary function."	"UMLS:C4277690 DOID:0060340 EFO:0003900 GTR:AN0966173 GARD:21544 Orphanet:363250"
<http://purl.obolibrary.org/obo/PATO_0010001>		
<http://purl.obolibrary.org/obo/CHEBI_33832>	"Any organic molecule that consists of atoms connected in the form of a ring."	
<http://purl.obolibrary.org/obo/UBERON_0000171>		
<http://purl.obolibrary.org/obo/CL_0000183>		
<http://purl.obolibrary.org/obo/CL_0000050>		
<http://purl.obolibrary.org/obo/ECTO_6000016>	"An exposure event involving Personal Behavior"	
<http://purl.obolibrary.org/obo/MONDO_0002977>	"A disorder characterized by the degeneration of the nervous system due to autoimmunity. Representative examples include multiple sclerosis, Guillain-Barre syndrome, and myasthenia gravis."	"UMLS:C0751871 NCIT:C99383 DOID:438 MESH:D020274 UMLS:C0751872"
<http://purl.obolibrary.org/obo/UBERON_0007823>		
<http://purl.obolibrary.org/obo/MONDO_0016127>		"SCTID:30330001 Orphanet:206994 GARD:20378"
<http://purl.obolibrary.org/obo/NCIT_C47796>	"Any agent that is capable of activating cholinergic receptors (nicotinic and muscarinic) or of enhancing or prolonging the actions of acetylcholine."	
<http://purl.obolibrary.org/obo/GO_0019724>		
<http://purl.obolibrary.org/obo/MONDO_0000591>	"A cardiomyopathy that is due to abnormalities in heart muscle cells."	"DOID:0060036"
<http://purl.obolibrary.org/obo/MONDO_0015175>	"Autoimmune pancreatitis (AIP) is a rare pancreatic disease characterized by chronic non-alcoholic pancreatitis that presents with abdominal pain, steatorrhea, obstructive jaundice and responds well to steroid therapy and is seen in two subforms: type 1 AIP which affects elderly males, involves other organs and has increased immunoglobin G4 (IgG4) levels and type 2 AIP which affects both sexes equally but presents at a younger age and has no other organ involvement or increased IgG4 levels."	"UMLS:C2609129 Orphanet:103919 MESH:D000081012 GARD:10911 SCTID:448542008 MedDRA:10069002 DOID:0040091"
<http://purl.obolibrary.org/obo/GO_0008152>		
<http://purl.obolibrary.org/obo/MONDO_0004994>	"A disease of the heart muscle or myocardium proper. Cardiomyopathies may be classified as either primary or secondary, on the basis of etiology, or on the pathophysiology of the lesion: hypertrophic, dilated, or restrictive."	"ICD9:425.9 Orphanet:167848 EFO:0000318 MedDRA:10007636 SCTID:57809008 UMLS:C0878544 ICD9:425 SCTID:85898001 ICD9:425.4 ICD10CM:I42 GARD:20096 DOID:0050700 NCIT:C34830 MESH:D009202"
<http://purl.obolibrary.org/obo/CL_0000182>		
<http://purl.obolibrary.org/obo/MONDO_0045022>	"A disease that has its basis in the disruption of organic acid metabolic process."	"ICD9:277.89 SCTID:116021002 UMLS:C1263739"
<http://purl.obolibrary.org/obo/UBERON_0013522>		
<http://purl.obolibrary.org/obo/MONDO_0016126>		"Orphanet:206991 GARD:20377 UMLS:C0150005 SCTID:240105009 ICD9:729.1 MedDRA:10051512"
<http://purl.obolibrary.org/obo/GO_0019725>		
<http://purl.obolibrary.org/obo/UBERON_0001064>		
